Category,Crop,QueryType,QueryText,KccAns,Refer
Vegetables,Ash Gourd,Cultural Practices,Information Regarding Ash Gourd Crop?,"Ash gourd also known as white gourd, winter melon or fuzzy melon. It is native from Southeast Asia. It is a rich source of Fat, protein, carbohydrates and fibre. Ash gourd have several medicine properties. As it contain low calories, it is good for diabetic patients. It is used to treat constipation, acidity and to kill intestinal worms. Popular ""Petha"" is made from Ash gourd.It can grow on variety of soils but gives best results when grown on sandy loam soils. Ideal pH range of soil is about 6 to 6.5.In north India, it can be cultivated for two times. It is sown in February-March and also in June -July.Depending upon climate, soil type, in summer season provide irrigation with interval of 7-10 days. In rainy season provide irrigation depending upon rainfall frequency.  ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Cultural Practices,Information Regarding Ash Gourd sowing time?,"In north India, it can be cultivated for two times. It is sown in February-March and also in June -July. ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Cultural Practices,Information Regarding Ash Gourd suitable time?,"In north India, it can be cultivated for two times. It is sown in February-March and also in June -July. ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Cultural Practices,Information Regarding Ash Gourd suitable temparature?,"The suitable temparature: Sowing Temparature- 15-20 degree, Normal Temperature- 15-35 degree,Harvesting Temperature- 22-35 degree,Rainfall- 100-150cm ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Cultural Practices,Information Regarding Ash Gourd normal temparature?,Normal Temperature- 15-35 degree ,"[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Cultural Practices,Information Regarding Ash Gourd sowing temparature?,Sowing Temparature- 15-20 degree ,"[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Cultural Practices,Information Regarding Ash Gourd Harvesting temparature?,Harvesting Temperature- 22-35 degree ,"[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Cultural Practices,Information Regarding Ash Gourd Suitable rainfall?,Rainfall- 100-150cm ,"[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Cultural Practices,Information Regarding Ash Gourd suitable temparature?,It can grow on variety of soils but gives best results when grown on sandy loam soils. Ideal pH range of soil is about 6 to 6.5. ,"[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Varieties,Information Regarding Ash Gourd varieties?,"PAG-3 (2003): The medium-length vines have green leaves. The fruits are appealing, spherical, and of average size. From planting until harvesting, 145 days pass. Fruits weigh 10 kg on average and produce 120 q/acre on average.

Kashi Surbhi: Fruits oblong, ellipsoid, rind greenish white, flesh white; Average fruit weight 10-12.kg; Fruits are suitable for long distance transportation; It has yield potential of 240 q/acre (Kharif season) and 210-200 q/acre (summer season).

Kashi Dhawal: This variety is derived from a local collection. The vine length is 7.5-8 m. Fruits are oblong, flesh white, thickness 8.5-8.7 cm, seed arrangements linear, average weight 11-12 kg crop duration 120 days and yield 230-240 q/ha. This is suitable for preparation of Petha sweets due to high flesh recovery.

Other States variety:
CO 1, CO 2, Pusa Ujjwal, Kashi Ujawal, MAH 1, IVAG 502 ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
